Station Name,Station Latitude,Station Longitude
Gilroy Array #3,36.9870,-121.5360
Gilroy Array #4,37.0010,-121.5220
Gilroy Array #6,37.0260,-121.4840
Halls Valley,37.3380,-121.7140
"SJB Overpass, Bent 3 g.l.",36.8620,-121.5780
"SJB Overpass, Bent 5 g.l.",36.8620,-121.5780
"San Juan Bautista, 24 Polk St",36.8600,-121.5400
Bevagna,42.9330,12.6170
Cascia,42.7210,13.0110
Spoleto,42.7360,12.7370
Aeropuerto Mexicali,32.6510,-115.3320
Agrarias,32.6210,-115.3010
Bonds Corner,32.6932,-115.3380
Brawley Airport,32.9910,-115.5130
Calexico Fire Station,32.6695,-115.4930
Calipatria Fire Station,33.1266,-115.5160
Cerro Prieto,32.4210,-115.3010
Chihuahua,32.4840,-115.2400
Coachella Canal #4,33.3600,-115.5900
Compuertas,32.5730,-115.0830
Cucapah,32.5450,-115.2350
Delta,32.3560,-115.1950
EC County Center FF,32.7930,-115.5620
EC Meloland Overpass FF,32.7730,-115.4470
El Centro Array #1,32.9600,-115.3190
El Centro Array #10,32.7810,-115.5360
El Centro Array #11,32.7520,-115.5940
El Centro Array #12,32.7180,-115.6370
El Centro Array #13,32.7090,-115.6830
El Centro Array #2,32.9160,-115.3660
El Centro Array #3,32.8940,-115.3800
El Centro Array #4,32.8640,-115.4320
El Centro Array #5,32.8550,-115.4660
El Centro Array #6,32.8390,-115.4870
El Centro Array #7,32.8290,-115.5040
El Centro Array #8,32.8110,-115.5320
El Centro Differential Array,32.7960,-115.5350
Holtville Post Office,32.8120,-115.3770
Niland Fire Station,33.2390,-115.5120
Parachute Test Site,32.9290,-115.7010
Plaster City,32.7900,-115.8600
SAHOP Casa Flores,32.6180,-115.4360
Superstition Mtn Camera,32.9550,-115.8250
Victoria,32.2890,-115.1030
Westmorland Fire Sta,33.0370,-115.6230
Bonds Corner,32.6932,-115.3380
Brawley Airport,32.9910,-115.5130
Calexico Fire Station,32.6695,-115.4930
Delta,32.3560,-115.1950
El Centro Array #1,32.9600,-115.3190
El Centro Array #10,32.7810,-115.5360
El Centro Array #11,32.7520,-115.5940
El Centro Array #2,32.9160,-115.3660
El Centro Array #3,32.8940,-115.3800
El Centro Array #4,32.8640,-115.4320
El Centro Array #5,32.8550,-115.4660
El Centro Array #6,32.8390,-115.4870
El Centro Array #7,32.8290,-115.5040
El Centro Array #8,32.8110,-115.5320
El Centro Differential Array,32.7960,-115.5350
